developer,count
"Games Farm;3Division",2
"Fire Hose Games",2
"Mode 7",2
"Flying Wild Hog",2
"Gaslamp Games, Inc.",2
"Dead Mage",2
"Nicalis, Inc.",2
"Grey Havens, LLC",2
"Robot Entertainment",2
"Jason Rohrer",2
"State of Play Games",2
"Q-Games Ltd.",2
"Supergiant Games",2
"MinMax Games Ltd.",2
"Squid In A Box Ltd",2
"Little Green Men Games",2
"Endlessfluff Games",2
PomPom,2
"Little Orbit",2
"Ironclad Games;Stardock Entertainment",2
"Boss Baddie",2
BUGBEAR,2
"Longbow Games",2
1C-SoftClub,2
"Ino-Co Plus",2
"Eden Industries",2
"The Behemoth",2
"Ubisoft - San Francisco",2
Arkedo,2
"DrinkBox Studios",2
"Standing Stone Games, LLC",2
"Almost Human Games",2
Tennen-sozai,2
"Tribute Games Inc.",2
"Misfits Attic",2
"Big Robot Ltd",2
"Trickstar Games",2
"AMPLITUDE Studios",2
"Waterlily Games",2
"Love Conquers All Games",2
"Born Ready Games Ltd.",2
"Pantera Entertainment",2
"Subatomic Studios LLC",2
"Hanako Games",2
"Smudged Cat Games Ltd",2
"Yeti Trunk",2
"Looking Glass Studios",2
Edelweiss,2
Opus,2
"Ankama Studio",2
"CI Games",2
"5th Cell Media",2
"Might and Delight",2
Stoic,2
"HeR Interactive, Inc.",2
"Ninja Theory",2
"Zero Sum Games",2
KADOKAWA,2
"SNK CORPORATION;Code Mystics",2
"Black Forest Games",2
"Running With Scissors",2
"Sperasoft, Inc.",2
Beamdog,2
"Hello Games",2
Droqen,2
"Eko Software",2
"Santa Ragione",2
"Lucky Frame",2
"Behold Studios",2
Spiders,2
"Games Farm",2
"The Men Who Wear Many Hats",2
WayForward,2
"Pieces Interactive",2
"Zen Studios",2
"Double Eleven;Q-Games Ltd.",2
Sir-Tech,2
"Nomad Games",2
"Krillbite Studio",2
MagicalTimeBean,2
"Toontraxx Studios",2
"Hydravision Entertainment",2
"Massive Entertainment",2
"Impressions Games",2
"Valve;Hidden Path Entertainment",1
"Mark Healey",1
"RavenSoft / id Software",1
"Black Element",1
"Troika Games",1
Neversoft,1
"Iocaine Studios",1
Metamorf,1
"Kheops Studio",1
"Mindware Studios",1
"Retro64, Inc.",1
"Elixir Studios",1
"GlyphX Games",1
"FireFly Studios;Firaxis Games",1
Funkitron,1
"Naked Sky Entertainment",1
"The Creative Assembly",1
"The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux)",1
Frontier,1
"Planet Moon Studios",1
"Sick Puppies",1
Deepred,1
"Muzzy Lane",1
"Artematica Entertainment",1
"Stunlock Studios",1
"Mithis Games;THQ Nordic",1
"Eidos Interactive",1
"IO Interactive A/S",1
"Firaxis Games;Feral Interactive (Mac)",1
"Sky Fallen",1
"Crystal Dynamics;Feral Interactive (Mac)",1
"Eidos Studio Hungary",1
CCP,1
"Irrational Games;Aspyr (Mac);Virtual Programming (Linux)",1
"Silver Wish Games",1
"Kaos Studios",1
"Cryptic Sea",1
"InnoGlow;Stormregion;THQ Nordic",1
ImagineEngline,1
"Incinerator Studios",1
"Saber Interactive",1
"Wanako Games",1
Trashmasters,1
"Electronic Paradise",1
SPLine,1
Akella,1
"Buka Entertainment;Lesta Studio",1
Frogames,1
2DEngine.com,1
"Deep Red Limited",1
"Rockstar New England",1
"Rockstar North;Rockstar Toronto",1
"Rockstar North / Toronto",1
"Momentum Digital Media Technologies",1
Deck13,1
"Parallax Arts Studio",1
"Technetium Games",1
"Mascot Entertainment",1
"Noviy Disk;Lesta Studios Inc",1
"Gamebryo;Virtual Playground",1
"Gabriel Entertainment",1
"BigAnt Studios",1
Merscom;Babylon,1
"Virtual Playground",1
"Blue Omega Entertainment",1
"Codemasters Studios",1
"Sanzaru Games",1
Kudosoft,1
"Ubisoft Bulgaria;Ubisoft Montpellier",1
Darkworks,1
"1C: Maddox Games",1
"Oxeye Game Studio",1
"Dejobaan Games, LLC;Owlchemy Labs",1
Slam,1
blurredVision,1
Redlynx,1
"Redlynx Ltd",1
"Crackpot Entertainment",1
"BlackFoot Studios",1
"Hi-Rez Studios",1
"EA Black Box",1
"EA Redwood Shores",1
"Zombie Panic Team",1
"Octoshark Studios",1
"GameConnect;InterWave Studios",1
Empires,1
Futuremark,1
"Shorebound Studios",1
"Inventive Dingo",1
"Brian Cronin",1
"G5 Entertainment",1
"Dialogue Design",1
"Strawdog Studios Ltd",1
"Luc Bernard;SilverSphereStudios",1
"Red Storm Entertainment;Ubisoft Montreal",1
"Perpetual FX Creative",1
Sidhe,1
"Deadline Games",1
"Deadline Games  ",1
"Monolith Productions, Inc.;Timegate",1
"Day 1 Studios",1
"Dark Castle Software",1
"Games Faction",1
Eipix,1
"Proper Games",1
"Ubisoft Reflections",1
"2D BOY",1
"Splash Damage",1
"Apus Software;Three Donkeys LLC",1
"Team17 Software Ltd. ",1
"Red Chain Games Ltd.",1
"Square Enix;PopCap Games, Inc.",1
"Vicious Cycle Software, Inc.",1
"Dovetail Games",1
"OVERKILL Software",1
"Bit Blot, LLC",1
"EA - Maxis",1
"EA - Maxis;Aspyr (Mac)",1
"Mindstorm Studios",1
Playbrains,1
"Black Sea Studios Ltd",1
Cyberlore,1
"Paleo Entertainment",1
"Number None",1
Kloonigames,1
"49 Games",1
"Red Rocket Games",1
"Erik SvedÃ¤ng",1
"Hemisphere Games",1
Elecorn,1
"Thinking Studios;Slam Dunk Studios",1
TrueThought,1
"Black Jacket Studios",1
"BioWare;Aspyr (Mac)",1
"LucasArts;Aspyr Studios",1
"Traveller's Tales;Feral Interactive (Mac)",1
Petroglyph,1
"Aspyr Studios",1
"Enlight Software Limited",1
"Brightside Games",1
"Ubisoft Montpellier",1
"PopTop Software;BreakAway Games;Frog City Software",1
Synetic,1
Kokakiki,1
"Zaratustra Productions",1
Bamtang,1
DTP,1
"Gunnar Games, Inc.",1
"CREATIVE ASSEMBLY;Feral Interactive (Mac)",1
"Sumo Digital",1
SaintXi,1
"City Interactive S.A.",1
Honeyslug,1
"GFI Russia",1
"Teotl Studios",1
Frima,1
"Sakari Indie",1
FromSoftware,1
"Chaos Concept",1
"Citeremis Inc.",1
"Big Splash Games, LLC",1
"Aliasworlds Entertainment",1
"Absolutist Ltd.",1
"Size Five Games",1
Yullaby,1
Vectorpark,1
"8monkey Labs",1
Gamerizon,1
"Spidermonk Entertainment",1
"Enlight Software Limited, PerspectX",1
"Interplay Inc.",1
"Black Isle Studios",1
"14Â° East",1
Subsoap,1
"Virtual Heroes;Army Game Studio",1
Phenomic,1
"Homegrown Games",1
Cauldron,1
"Rune Forge",1
DiezelPower,1
ZoopTEK,1
Stormregion,1
"Makivision Games",1
"The Odd Gentlemen",1
"Illusion Softworks",1
"Konstantin Koshutin",1
"Dream Forge Entertainment, LLC",1
"VIS Interactive",1
"Oasis Games",1
"Independent Programmist Group",1
Trinoteam,1
"Dark Water Studios Ltd",1
"Crystal Empire Games",1
BL-Logic,1
"Kerberos Productions Inc.",1
"Kerberos Productions",1
"Blue Fang",1
"KTX Software",1
"New Star Games Ltd",1
"Codemasters Racing;Feral Interactive (Mac)",1
"Artery Games",1
"Other Ocean Interactive",1
"SkyRiver Studios",1
"Elite Games Team",1
SoftLab-NSK,1
"Headup Games;Clockstone",1
"ClockStone Studios",1
"Octane Games;Meridian4",1
"Headup Games / Crenetic",1
MC2,1
"Dedication Games",1
"Icehole Games",1
"Darkling Room",1
"Muzzy Lane Software",1
"Dust Devil Studios Inc.",1
Gogiii,1
"Visceral Games",1
"Electronic Arts",1
"The Sims Studio",1
Playdead,1
Exkee,1
"Blue Byte;Related Designs",1
VStep,1
"Stainless Games Ltd",1
"Gearbox Software;Aspyr (Mac);Aspyr (Linux)",1
"Cold Beam Games",1
"Beatnik Games",1
"Noumenon Games",1
"2K Czech;Feral Interactive (Mac)",1
YAGER,1
doublesix,1
"Big Fish Studios",1
"Kaos Studios;Digital Extremes",1
"Double Helix Games;Rainbow Studios;THQ Nordic",1
Relic,1
Mediatonic,1
"Coreplay GmbH;Bigmoon Studios",1
"Stickmen Studios",1
"Binary Takeover",1
"Source Studio Ltd.",1
4sdk,1
YeaBoing,1
"Secret Exit Ltd.",1
Firemint,1
"ZoÃ« Mode",1
"Big Sandwich Games",1
"bitComposer Games",1
"Uber Entertainment",1
"Lunar Giant",1
Ino-Co,1
"Red Dot Games;PLAY",1
"React Games",1
"Streko Graphics",1
"Mind Over Matter Studios",1
"Eggtooth Team",1
"Trine Studios;G3 Community Patch Team;Mad Vulture Games",1
"2K Marin",1
"Dmytry Lavrov",1
"800 North and Digital Ranch",1
"Grendel Games",1
"Blind Mind Studios",1
"StarWraith 3D Games LLC",1
"Tomkorp Computer Solutions Inc.",1
"Clara Lehenaff",1
"Martin Ivanov",1
Ageod,1
"Red Redemption",1
"Joshua Neurnberger",1
"Relentless Software",1
"Digital Reality",1
"X1 Software;AWAR",1
"Streum On Studio",1
"Steel Monkeys",1
"Dark Energy Digital Ltd.",1
"Geoff 'Zag' Keene;Richard Keene",1
"Extend Studio",1
"Copenhagen Game Collective",1
"WXP Games, LLC",1
"Black Lion Studios",1
"Stout Games",1
"Final Form Games",1
"Cockroach Inc.",1
Messhof,1
Straandlooper,1
SpikySnail,1
Sparpweed;Codeglue,1
"Peter Brinson and Kurosh ValaNejad",1
"Colibri Games",1
"Paul Fisch",1
"Kot in Action Creative Artel",1
IllFonic,1
Murudai,1
"Krystian Majewski",1
"Signal Studios",1
"Game Distillery s.r.o.",1
Zeroscale,1
"Bedlam Games",1
"Killspace Entertainment",1
Pilgway,1
"Mystic Box",1
"Michael Brough",1
"Big Huge Games;38 Studios",1
"Trapdoor Inc.",1
"Big Fat Alien",1
"Spiral Game Studios",1
"Manic Game Studios",1
"Ensemble Studios",1
Re-Logic,1
"Secret Base",1
"Strange Loop Games",1
"The Indie Stone",1
"Remedy Entertainment;Mountain Sheep;Cornfox & Brothers",1
"Pixelante Game Studios",1
"Hazardous Software Inc.",1
"Digital Arrow",1
"PomPom Games",1
"Team Bondi;Rockstar Leeds",1
"Total Eclipse",1
"Total Eclipse P.C.",1
"Mommy's Best Games",1
"Pocketwatch Games",1
"Edmund McMillen and Florian Himsl",1
"D-Pad Studio",1
"Eclipse Games",1
"Spectral Games",1
"Olde SkÃ¼Ã¼l;Sculptured Software",1
"Playbrains;Fuel Entertainment",1
"Wild Shadow Studios;Deca Games",1
1C-Avalon,1
"Zeal Game Studio",1
"Unigine Corp.",1
"Bit Planet Games, LLC",1
"Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux)",1
"Nicalis, Inc.;Studio Pixel",1
"Dark Artz Entertainment",1
"Desert Owl Games LLC",1
Vlambeer;Croteam,1
b-Alive,1
"Team 6 Studios",1
"Machine Games",1
"Cyanide Montreal",1
TikGames,1
"RC Knight",1
"Hassey Enterprises, Inc.",1
"Io-Interactive A/S;Feral Interactive (Mac)",1
"Crystal Dynamics;Eidos-MontrÃ©al;Feral Interactive (Mac);Feral Interactive (Linux)",1
Lizsoft,1
"Bootsnake Games",1
"ASTRO PORT",1
"Lionhead Studios",1
"Capybara;Superbrothers;Jim Guthrie",1
"Rockstar Studios",1
"Retro Affect",1
"Ty Taylor and Mario CastaÃ±eda;The Quantum Astrophysicists Guild",1
RichMakeGame,1
"Rocket Bear Games",1
"Dancing Dots",1
"Vblank Entertainment, Inc.",1
Biart,1
"Golgoth Studio",1
UL,1
"Sakari Indie & GriN",1
"Brandon Brizzi",1
"Shadow Planet Productions",1
"Coreplay GmbH",1
"Black Pants Studio",1
"Blit Software",1
"Suspicious Developments",1
"Monolith Productions, Inc.",1
"ACQUIRE Corp.",1
"System Prisma",1
"Deep Silver Volition",1
"Freebird Games",1
"Carbon Games",1
"Enigma SP",1
"Digital Reality Software & Playbox",1
"BlinkWorks Media",1
"DoubleDutch Games",1
exDream,1
"CodeBrush Games",1
"Flat Software",1
"David Williamson",1
"UBIart Montpellier;Feral Interactive (Mac)",1
"Joakim Sandberg",1
"increpare games",1
"ExDream GmbH",1
"Empty Clip Studios",1
Southend,1
"Obsidian Entertainment;Aspyr (Mac, Linux, & Windows Update)",1
Shovsoft,1
"Rocksteady Studios",1
"Gaijin Entertainment Corporation",1
"Finn Morgan",1
"WB Games Montreal;Splash Damage",1
"Slant Six Games",1
"Capcom U.S.A., Inc.",1
"Curve Studios",1
"Doublesix Games",1
"The Binary Mill",1
"Sledgehammer Games;Raven Software",1
"Data Realms",1
Wizarbox,1
"Burut CT",1
"Jasper Byrne",1
"Jet Set Games",1
"Spry Fox LLC",1
"Spaces of Play",1
"Pwnee Studios",1
"Human Head Studios",1
"Thekla, Inc.",1
"Creative Assembly, PC Port - Hardlight",1
