categories,count,average,median
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Commentary available",1,72,100
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,210,220
"Single-player;Multi-player;Co-op;Steam Achievements;Stats;Steam Leaderboards",1,104,104
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Partial Controller Support",1,0,0
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards",1,413,533
"Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Trading Cards",1,180,205
"Multi-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Stats",1,0,0
"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Stats;Steam Leaderboards",1,79,100
"Single-player;Multi-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards",1,123,184
"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Stats",1,152,153
"Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,255,284
"Single-player;Multi-player;Co-op;Steam Trading Cards;Partial Controller Support;Includes level editor",1,280,280
"Single-player;Multi-player;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,9,9
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,1070,1903
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Turn Notifications",1,183,227
"Single-player;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,101,155
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats;Steam Leaderboards",1,800,1302
"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Partial Controller Support",1,0,0
"Single-player;Multi-player;MMO;Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support",1,275,64
"Single-player;Multi-player;MMO;Co-op;Steam Achievements",1,107,214
"Steam Cloud",1,0,0
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats",1,0,0
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor",1,263,98
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor",1,18823,3621
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Turn Notifications",1,607,607
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support",1,658,701
"Multi-player;MMO;Co-op;Steam Trading Cards;In-App Purchases;Includes level editor",1,1273,543
"Single-player;Co-op;Shared/Split Screen;Full controller support",1,0,0
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards;Includes level editor",1,199,199
"Single-player;Local Co-op;Steam Achievements;Partial Controller Support",1,527,527
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,183,135
"Multi-player;MMO;Steam Achievements",1,3835,302
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Steam Leaderboards",1,21,31
"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,0,0
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements",1,0,0
"Multi-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;Stats",1,3531,64
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards",1,9,9
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,1470,1049
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud",1,1037,508
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats",1,8,8
"Single-player;Multi-player;Local Multi-Player",1,145,145
"Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support;Steam Cloud",1,247,281
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud",1,76,76
"Single-player;Multi-player;Online Multi-Player;Online Co-op",1,149,270
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,524,400
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,89,24
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards",1,639,1242
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards;Includes level editor",1,999,490
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support;Includes level editor",1,233,305
"Single-player;Multi-player;Full controller support",1,0,0
"Single-player;Multi-player;Steam Achievements;Steam Cloud;Includes level editor",1,115,115
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Includes level editor",1,507,393
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",1,182,182
"Single-player;Shared/Split Screen;In-App Purchases",1,1371,1371
"Steam Leaderboards",1,0,0
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud",1,26,26
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards",1,64,64
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Includes level editor",1,212,242
"Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",1,120,107
"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud",1,1279,1094
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Stats;Steam Leaderboards",1,441,172
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Commentary available",1,218,249
"Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor",1,421,320
"Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",1,640,101
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Steam Leaderboards",1,70,111
"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Stats;Steam Leaderboards",1,220,263
"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud",1,1102,352
"Single-player;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud",1,990,774
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support;Stats;Steam Leaderboards",1,411,476
"Single-player;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor",1,0,0
"Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats",1,275,295
"Single-player;Multi-player;Co-op;Full controller support",1,237,237
"Single-player;Multi-player;Co-op;Shared/Split Screen;Partial Controller Support",1,136,196
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support",1,84,84
"Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards",1,487,487
"Single-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",1,121,121
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor",1,57,77
"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards",1,0,0
"Single-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards",1,69,83
"Single-player;Multi-player;Steam Trading Cards;In-App Purchases;Partial Controller Support",1,81,42
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards",1,152,283
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop",1,3556,2055
"Multi-player;MMO;Co-op;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support",1,4623,113
"Single-player;Multi-player;MMO;Co-op;Partial Controller Support",1,408,249
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",1,1149,1600
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards",1,239,248
"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,139,39
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards",1,245,317
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,254,462
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor",1,189,174
"Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Trading Cards",1,645,408
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud",1,0,0
"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Valve Anti-Cheat enabled",1,423,470
"Single-player;Multi-player;Co-op;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,92,151
"Single-player;Online Multi-Player;Online Co-op;Full controller support",1,5,5
"Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards;Steam Cloud",1,273,284
"Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support",1,194,283
"Single-player;Multi-player;MMO;Co-op;Steam Trading Cards",1,71,106
"Single-player;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor",1,280,343
"Multi-player;MMO;Steam Trading Cards",1,1051,150
"Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases",1,3975,890
"Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor",1,675,293
"Multi-player;Steam Trading Cards",1,29,29
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor",1,384,378
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,3651,1539
"Single-player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud",1,9223,351
"Steam Trading Cards;Steam Workshop",1,405,465
"Single-player;Steam Trading Cards;Steam Cloud;Includes level editor",1,136,166
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,1602,1245
"Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled",1,7235,2798
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,1569,619
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,3601,3601
"Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,6704,7089
"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled",1,683,764
"MMO;Cross-Platform Multiplayer",1,43,43
"Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor",1,712,245
"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Stats",1,408,484
"Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Partial Controller Support;Stats",1,0,0
"Single-player;Co-op;Steam Cloud;Valve Anti-Cheat enabled",1,3830,74
"Single-player;Multi-player;Captions available;VR Support;Partial Controller Support;Includes level editor",1,2343,3454
"Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud;Steam Leaderboards",1,0,0
"Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Captions available;VR Support;Partial Controller Support;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK",1,2661,180
"Multi-player;MMO;Co-op;Steam Trading Cards;Partial Controller Support",1,953,324
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Includes level editor",1,124,152
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop",1,157,207
"Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Partial Controller Support;Steam Cloud;Stats;Includes level editor;Includes Source SDK",1,413,370
"Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support;Steam Cloud",1,407,56
"Single-player;Multi-player;Full controller support;Steam Trading Cards;Captions available;Steam Cloud",1,155,155
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",1,984,861
"Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats",1,199,264
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud",1,142,142
"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,365,450
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,289,381
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,27,34
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop",1,105,105
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Includes level editor",1,272,272
"Multi-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases",1,1752,76
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support",1,0,0
"Single-player;Multi-player;Online Multi-Player;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards",1,778,1135
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,440,440
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards;Commentary available",1,329,411
"Single-player;Steam Trading Cards;Steam Leaderboards",1,200,204
"Single-player;Includes level editor",1,0,0
"Multi-player;Steam Workshop;Partial Controller Support;Includes level editor",1,507,507
"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,471,581
"Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,494,494
"Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support",1,5845,394
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support",1,184,184
"Single-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support",1,252,252
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats",1,1846,277
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Includes level editor",1,2967,957
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Commentary available",1,90,129
"Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",1,259,233
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards",1,0,0
"Single-player;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud",1,217,217
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;VR Support;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor",1,887,1307
"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor",1,533,486
"Single-player;Steam Workshop;Includes level editor",1,1756,2026
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Includes level editor",1,392,342
"Single-player;Online Multi-Player;Cross-Platform Multiplayer",1,0,0
"Single-player;Shared/Split Screen;Partial Controller Support;Includes level editor",1,0,0
"Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,63,122
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support;Steam Leaderboards",1,232,282
"Single-player;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",1,278,240
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,1360,2404
"Steam Achievements;Steam Cloud;Stats",1,0,0
"Single-player;Multi-player;Steam Achievements;Captions available;Steam Cloud",1,232,232
"Multi-player;MMO;Co-op;Steam Trading Cards",1,28,33
"Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards",1,221,221
"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud",1,1200,608
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Turn Notifications",1,1364,2708
"Single-player;Shared/Split Screen;Full controller support;Steam Workshop",1,507,507
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor",1,0,0
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support",1,523,217
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",1,112,159
"Single-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support",1,4200,297
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support",1,2377,3041
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Co-op;Full controller support;Steam Trading Cards;Includes level editor",1,80,89
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud",1,1433,1433
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud",1,8138,4572
"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available",1,0,0
Single-player;Multi-player;MMO;Co-op,1,796,54
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support",1,0,0
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Includes level editor",1,34,34
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Steam Workshop;Partial Controller Support",1,545,765
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Commentary available",1,947,875
"Single-player;Co-op;Steam Trading Cards",1,256,404
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards",1,0,0
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards",1,198,166
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,774,289
"Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases",1,5263,492
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor",1,288,279
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor",1,2033,1299
"Single-player;Full controller support;Captions available;Steam Cloud",1,100,123
"Single-player;Steam Achievements;VR Support;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",1,63,76
"Single-player;Shared/Split Screen;Steam Achievements",1,0,0
"Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards",1,132,171
"Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;Partial Controller Support",1,2218,1617
"Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Stats;Commentary available",1,316,316
"Single-player;Partial Controller Support;Commentary available",1,169,208
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,637,637
"Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Includes level editor",1,102,150
"Single-player;Online Multi-Player;Steam Trading Cards",1,444,444
"Single-player;Multi-player;MMO;In-App Purchases;Partial Controller Support",1,657,725
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,103,178
"Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Multi-player;In-App Purchases",1,3234,1761
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Includes level editor",1,0,0
"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,682,491
"Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Captions available",1,450,254
"Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud",1,2417,1127
"Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,3846,5410
"Single-player;Multi-player;Steam Trading Cards;Partial Controller Support;Stats",1,98,120
"Single-player;Multi-player;Steam Trading Cards;Partial Controller Support",1,1176,1343
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards",1,137,176
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support",1,13,13
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Stats",1,37,37
"Single-player;Multi-player;Steam Achievements;Steam Workshop;Steam Cloud",1,353,419
"Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Leaderboards;Includes level editor",1,3107,5267
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,4678,6473
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Partial Controller Support;Stats",1,2957,2998
"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,0,0
"Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor",1,3739,1147
"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;In-App Purchases;Steam Cloud;Steam Leaderboards",1,8180,64
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Includes level editor",1,0,0
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Leaderboards",1,752,1170
"Single-player;Multi-player;In-App Purchases;Partial Controller Support",1,418,480
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",1,292,364
"Single-player;Full controller support;Steam Workshop;Steam Cloud",1,46,46
