categories,count,average,median
"Single-player;Shared/Split Screen;Partial Controller Support",3,622,836
"Single-player;Captions available",3,2605,2612
"Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards",3,67,78
"Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards",3,1895,2955
"Single-player;Multi-player;Co-op;Steam Trading Cards",3,951,1521
"Single-player;Multi-player;Steam Achievements;Steam Leaderboards",3,325,363
"Single-player;Multi-player;Co-op;Captions available;Partial Controller Support;Includes level editor",3,9242,2387
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Leaderboards",3,946,765
"Single-player;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards",3,879,1671
"Single-player;Steam Achievements;Stats;Steam Leaderboards",3,113,117
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",3,1269,1258
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",3,277,271
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",3,1103,1103
"Single-player;Shared/Split Screen",3,432,432
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available",3,624,679
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards",3,293,303
"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",3,882,690
Multi-player;MMO,3,599,655
"Single-player;Multi-player;Cross-Platform Multiplayer",3,19,19
"Single-player;Multi-player;VR Support;Steam Workshop;Partial Controller Support;Includes level editor",3,10775,16019
"Multi-player;Valve Anti-Cheat enabled",2,289,115
"Single-player;Commentary available",2,46,29
"Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available",2,635,485
"Single-player;Captions available;Steam Cloud",2,1563,1964
"Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud",2,1650,651
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player",2,88,88
"Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud",2,1381,354
"Single-player;Multi-player;Co-op;Shared/Split Screen",2,246,470
"Single-player;Multi-player;Shared/Split Screen;Partial Controller Support",2,209,209
"Multi-player;MMO;Co-op;Steam Achievements",2,13059,799
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats",2,4427,2919
"Single-player;Full controller support;Partial Controller Support",2,260,172
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats",2,464,494
"Single-player;Multi-player;Shared/Split Screen",2,3,3
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,1933,3185
"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support",2,0,0
"Single-player;Multi-player;Partial Controller Support;Steam Cloud",2,50,60
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,410,416
"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",2,761,892
